==== TASK RELATIONSHIPS TABLE ====
First,Second,Relationship
26,60,Mechanic Team 1,2
27,20,Mechanic Team 4,1
28,90,Mechanic Team 2,3
29,40,Mechanic Team 5,1
30,60,Mechanic Team 3,2
31,30,Mechanic Team 1,1
32,120,Mechanic Team 4,3
33,20,Mechanic Team 2,1
34,60,Mechanic Team 5,2
35,50,Mechanic Team 3,1
36,90,Mechanic Team 1,3
37,30,Mechanic Team 4,1
38,60,Mechanic Team 2,2
39,40,Mechanic Team 5,1
40,120,Mechanic Team 3,4
41,20,Mechanic Team 1,1
42,60,Mechanic Team 4,2
43,30,Mechanic Team 2,1
44,90,Mechanic Team 5,3
45,50,Mechanic Team 3,1
46,60,Mechanic Team 1,2
47,40,Mechanic Team 4,1
48,120,Mechanic Team 2,3
49,20,Mechanic Team 5,1
50,60,Mechanic Team 3,2
51,30,Mechanic Team 6,1
52,90,Mechanic Team 1,3
53,40,Mechanic Team 6,1
54,60,Mechanic Team 4,2
55,50,Mechanic Team 6,1
56,120,Mechanic Team 2,4
57,20,Mechanic Team 6,1
58,60,Mechanic Team 5,2
59,30,Mechanic Team 6,1
60,90,Mechanic Team 3,3
61,40,Mechanic Team 1,1
62,60,Mechanic Team 6,2
63,30,Mechanic Team 4,1
64,120,Mechanic Team 2,3
65,20,Mechanic Team 5,1
66,60,Mechanic Team 6,2
67,50,Mechanic Team 3,1
68,90,Mechanic Team 1,3
69,30,Mechanic Team 4,1
70,60,Mechanic Team 6,2
71,40,Mechanic Team 2,1
72,120,Mechanic Team 5,4
73,20,Mechanic Team 3,1
74,60,Mechanic Team 6,2
75,30,Mechanic Team 1,1
76,90,Mechanic Team 4,3
77,50,Mechanic Team 2,1
78,60,Mechanic Team 5,2
79,40,Mechanic Team 3,1
80,120,Mechanic Team 6,4
81,20,Mechanic Team 7,1
82,60,Mechanic Team 1,2
83,30,Mechanic Team 7,1
84,90,Mechanic Team 4,3
85,40,Mechanic Team 7,1
86,60,Mechanic Team 2,2
87,50,Mechanic Team 7,1
88,120,Mechanic Team 5,3
89,20,Mechanic Team 7,1
90,60,Mechanic Team 3,2
91,30,Mechanic Team 7,1
92,90,Mechanic Team 6,3
93,40,Mechanic Team 7,1
94,60,Mechanic Team 1,2
95,30,Mechanic Team 7,1
96,120,Mechanic Team 4,4
97,20,Mechanic Team 7,1
98,60,Mechanic Team 2,2
99,50,Mechanic Team 7,1
100,90,Mechanic Team 5,3
56,70,Mechanic Team 5,3
55,56,Mechanic Team 5, 2


==== MECHANIC TEAM WORKING CALENDARS ====
Mechanic Team,Working Shifts
Mechanic Team 1,1st
Mechanic Team 2,2nd
Mechanic Team 3,1st
Mechanic Team 4,3rd
Mechanic Team 5,1st
Mechanic Team 6,2nd
Mechanic Team 7,3rd

==== SHIFT WORKING HOURS ====
Shift,Start Time,End Time,Duration
1st,6:00 AM,2:30 PM,8.5 hours
2nd,2:30 PM,11:00 PM,8.5 hours
3rd,11:00 PM,6:00 AM,7 hours

==== MECHANIC TEAM CAPACITY ====
Mechanic Team,Total Capacity (People)
Mechanic Team 1,10
Mechanic Team 2,10
Mechanic Team 3,10
Mechanic Team 4,10
Mechanic Team 5,10
Mechanic Team 6,10
Mechanic Team 7,10

==== PRODUCT LINE DELIVERY SCHEDULE ====
Product Line,Delivery Date
Product A,September 20 2025
Product B,September 26 2025
Product C,September 29 2025
Product D,October 5 2025
Product E,October 1 2025

==== PRODUCT LINE JOBS ====
Product Line,Task Start,Task End
Product A,80,100
Product B,75,100
Product C,50,100
Product D,25,100
Product E,1,100

==== PRODUCT LINE HOLIDAY CALENDAR ====
Product Line,Date,Description
Product A,9/1/2025,Labor Day
Product A,9/22/2025,Maintenance Day
Product A,10/3/2025,Special Shutdown
Product B,9/1/2025,Labor Day
Product B,10/13/2025,Columbus Day
Product B,10/27/2025,Inventory Day
Product C,9/1/2025,Labor Day
Product C,11/11/2025,Veterans Day
Product C,11/27/2025,Thanksgiving
Product C,11/28/2025,Thanksgiving
Product D,9/1/2025,Labor Day
Product D,11/27/2025,Thanksgiving
Product D,11/28/2025,Thanksgiving
Product D,12/1/2025,Annual Planning Day
Product E,9/1/2025,Labor Day
Product E,11/27/2025,Thanksgiving
Product E,11/28/2025,Thanksgiving
Product E,12/15/2025,Pre-Holiday Maintenance

==== QUALITY INSPECTION REQUIREMENTS ====
Primary Task,Quality Task,Quality Headcount Required,Quality Duration (minutes)
1,101,1,45
4,104,2,45
6,106,1,45
8,108,2,45
10,110,2,45
12,112,1,45
15,115,1,45
16,116,2,45
18,118,2,45
20,120,2,45
22,122,1,45
24,124,2,45
27,127,1,45
28,128,2,45
30,130,1,45
32,132,2,45
35,135,1,45
36,136,2,45
38,138,1,45
40,140,2,45
42,142,1,45
44,144,2,45
47,147,1,45
48,148,2,45
50,150,1,45
52,152,2,45
55,155,1,45
56,156,2,45
58,158,1,45
60,160,2,45
62,162,1,45
64,164,2,45
67,167,1,45
68,168,2,45
70,170,1,45
72,172,2,45
75,175,1,45
76,176,2,45
78,178,1,45
80,180,2,45
82,182,1,45
84,184,2,45
87,187,1,45
88,188,2,45
90,190,1,45
92,192,2,45
95,195,1,45
96,196,2,45
98,198,1,45
100,200,2,45

==== QUALITY TEAM CAPACITY ====
Quality Team,Total Capacity (People)
Quality Team 1,3
Quality Team 2,3
Quality Team 3,3
Quality Team 4,3

==== QUALITY TEAM WORKING CALENDARS ====
Quality Team,Working Shifts
Quality Team 1,1st
Quality Team 2,1st
Quality Team 3,2nd
Quality Team 4,3rd

==== LATE PARTS RELATIONSHIPS TABLE ====
First,Second,Estimated On Dock Date,Product Line
301,2,8/30/2025,Product E
302,18,9/2/2025,Product E
303,5,9/5/2025,Product E
304,8,9/11/2025,Product E
305,15,8/28/2025,Product D
306,22,9/8/2025,Product D
307,35,9/15/2025,Product C
308,42,9/3/2025,Product D
309,51,9/12/2025,Product C
310,67,9/20/2025,Product C

==== LATE PARTS TASK DETAILS ====
Task,Duration (minutes),Resource Type,Mechanics Required
301,120,Mechanic Team 1,2
302,90,Mechanic Team 2,1
303,150,Mechanic Team 1,3
304,60,Mechanic Team 3,1
305,180,Mechanic Team 2,2
306,45,Mechanic Team 1,1
307,100,Mechanic Team 3,2
308,75,Mechanic Team 2,1
309,120,Mechanic Team 1,2
310,90,Mechanic Team 3,1

==== REWORK RELATIONSHIPS TABLE ====
First,Second,Relationship Type,Product Line
401,10,Finish <= Start,Product E
402,401,Finish <= Start,Product E
403,25,Finish <= Start,Product D
404,30,Finish <= Start,Product D
405,404,Finish <= Start,Product D
406,45,Finish <= Start,Product C
407,55,Finish <= Start,Product C
408,407,Finish <= Start,Product C
409,60,Finish <= Start,Product B
410,70,Finish <= Start,Product A

==== REWORK TASK DETAILS ====
Task,Duration (minutes),Resource Type,Mechanics Required
401,60,Mechanic Team 1,2
402,45,Mechanic Team 1,1
403,90,Mechanic Team 2,2
404,30,Mechanic Team 3,1
405,75,Mechanic Team 3,2
406,120,Mechanic Team 2,3
407,50,Mechanic Team 1,1
408,40,Mechanic Team 1,1
409,80,Mechanic Team 2,2
410,100,Mechanic Team 3,2
